,지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,공사번호,정류장종류,정류장명,정류장유형,대장초기화여부,위도,경도
4,정류장,2209000006,대전광역시 중구 ,36710086,19961,STT0006000,시외버스,침산교(점말),유개형(도시형),1,36.27630195,127.3972811
5,정류장,2209000007,대전광역시 중구 ,36710096,19932,STT0007000,시외버스,침산동버스정류장,유개형(도시형),1,36.27367768,127.3962798
6,정류장,2209000008,대전광역시 중구 ,36710096,19937,STT0008000,시외버스,침산동종점버스정류장,유개형(농촌형),1,36.27082253,127.3931441
17,정류장,2209000020,대전광역시 중구 ,36710086,19436,STT0020000,버스공용,평생교육원,유개형(도시형),1,36.2958844,127.3870891
18,정류장,2209000021,대전광역시 중구 ,36710086,19436,STT0021000,버스공용,평생교육원,유개형(도시형),1,36.29569564,127.387135
40,정류장,2209000052,대전광역시 중구 ,36710077,22619,STT0052000,시내버스,대전광역시노인복지관,유개형(도시형),1,36.31992915,127.4200138
73,정류장,101400,대전광역시 중구 ,36710076,19009,STT0090000,시내버스,한밭가든아파트,유개형(도시형),1,36.30462043,127.3846439
74,정류장,101401,대전광역시 중구 ,36710076,19020,STT0091000,시내버스,한밭가든아파트,유개형(도시형),1,36.30454517,127.3834765
75,정류장,101403,대전광역시 중구 ,36710076,33454,STT0092000,시내버스,초록마을1단지,유개형(도시형),1,36.30438778,127.3793022
76,정류장,101404,대전광역시 중구 ,36710076,33454,STT0093000,시내버스,초록마을1단지,유개형(도시형),1,36.30422591,127.3795066
77,정류장,101408,대전광역시 중구 ,36710076,33467,STT0094000,시내버스,신계초등학교,유개형(도시형),1,36.30294723,127.3789061
78,정류장,101409,대전광역시 중구 ,36710076,33467,STT0095000,시내버스,신계초등학교,유개형(도시형),1,36.30284563,127.37872
127,정류장,2209000107,대전광역시 중구 ,36710076,14626,STT0150000,버스공용,버드내네거리,유개형(도시형),1,36.31706267,127.3926539
128,정류장,2209000108,대전광역시 중구 ,36710076,22915,STT0151000,시내버스,유천2동주민센터,유개형(도시형),1,36.31660444,127.3979908
131,정류장,2209000111,대전광역시 중구 ,36710076,22912,STT0154000,시내버스,유천2동주민센터,유개형(도시형),1,36.31606413,127.3983847
132,정류장,2209000112,대전광역시 중구 ,36710076,23284,STT0155000,시내버스,버드내아파트,유개형(도시형),1,36.31634413,127.3867747
133,정류장,2209000113,대전광역시 중구 ,36710076,14339,STT0156000,버스공용,버드내아파트,유개형(도시형),1,36.31600363,127.3875386
134,정류장,2209000114,대전광역시 중구 ,36710076,14339,STT0157000,버스공용,버드내아파트,유개형(도시형),1,36.31585143,127.3880062
136,정류장,2209000116,대전광역시 중구 ,36710076,16585,STT0159000,버스공용,서부종합시장,유개형(도시형),1,36.31542331,127.3900757
137,정류장,2209000117,대전광역시 중구 ,36710076,16584,STT0160000,시내버스,서부종합시장,유개형(도시형),1,36.31508937,127.3901449
138,정류장,2209000118,대전광역시 중구 ,36710076,14383,STT0161000,버스공용,도마시장,유개형(도시형),1,36.31478184,127.3835038
161,정류장,2209000145,대전광역시 중구 ,36710066,21587,STT0188000,시내버스,유등마을아파트,유개형(도시형),1,36.33061901,127.3982636
163,정류장,2209000148,대전광역시 중구 ,36710066,27002,STT0191000,시내버스,태평중학교,유개형(도시형),1,36.3297917,127.3965666
164,정류장,2209000149,대전광역시 중구 ,36710066,27002,STT0192000,시내버스,태평중학교,유개형(도시형),1,36.32975183,127.3967408
169,정류장,2209000154,대전광역시 중구 ,36710067,21263,STT0197000,시내버스,오룡역6번출구,유개형(도시형),1,36.32928768,127.4069133
171,정류장,2209000156,대전광역시 중구 ,36710067,21263,STT0199000,시내버스,오룡역7번출구,유개형(도시형),1,36.32903774,127.407165
172,정류장,2209000157,대전광역시 중구 ,36710066,21042,STT0200000,시내버스,가장교,유개형(도시형),1,36.32875475,127.3874337
174,정류장,2209000159,대전광역시 중구 ,36710066,21042,STT0202000,시내버스,가장교,유개형(도시형),1,36.32864161,127.3878339
176,정류장,2209000161,대전광역시 중구 ,36710066,26983,STT0204000,시내버스,푸른뫼아파트,유개형(도시형),1,36.32841017,127.3989823
177,정류장,2209000162,대전광역시 중구 ,36710067,27838,STT0205000,시내버스,오룡역3번출구,유개형(도시형),1,36.32837383,127.4038993
179,정류장,2209000164,대전광역시 중구 ,36710067,27838,STT0207000,시내버스,오룡역2번출구,유개형(도시형),1,36.32810586,127.4039658
180,정류장,2209000165,대전광역시 중구 ,36710067,15070,STT0208000,시내버스,오룡역1번출구,유개형(도시형),1,36.32735997,127.4063033
181,정류장,2209000166,대전광역시 중구 ,36710067,21880,STT0209000,시내버스,오류네거리,유개형(도시형),1,36.32695641,127.4029278
182,정류장,2209000167,대전광역시 중구 ,36710067,27476,STT0210000,시내버스,오류네거리,유개형(도시형),1,36.32680108,127.4031838
183,정류장,2209000169,대전광역시 중구 ,36710066,26942,STT0212000,시내버스,태평1동주민센터,유개형(도시형),1,36.32662776,127.3973781
184,정류장,2209000170,대전광역시 중구 ,36710066,21202,STT0213000,시내버스,태평오거리,유개형(도시형),1,36.32660239,127.3928134
186,정류장,2209000172,대전광역시 중구 ,36710066,26902,STT0215000,시내버스,태평오거리,표지설치,1,36.32643496,127.3949962
187,정류장,2209000173,대전광역시 중구 ,36710066,27127,STT0216000,시내버스,태평오거리,유개형(도시형),1,36.3262307,127.3929893
188,정류장,2209000174,대전광역시 중구 ,36710066,21235,STT0217000,시내버스,태평1동주민센터,유개형(도시형),1,36.3261062,127.3966869
190,정류장,2209000176,대전광역시 중구 ,36710077,22080,STT0219000,시내버스,서대전역입구,유개형(도시형),1,36.32497493,127.4005842
191,정류장,2209000177,대전광역시 중구 ,36710077,22080,STT0220000,시내버스,서대전역입구,유개형(도시형),1,36.32486715,127.4004243
194,정류장,2209000180,대전광역시 중구 ,36710076,22792,STT0223000,시내버스,태평시장,유개형(도시형),1,36.3248413,127.3952487
196,정류장,2209000182,대전광역시 중구 ,36710076,22792,STT0225000,시내버스,태평시장,유개형(도시형),1,36.32468878,127.3950967
199,정류장,2209000185,대전광역시 중구 ,36710077,20217,STT0228000,시내버스,서대전역,유개형(도시형),1,36.32351713,127.4045093
200,정류장,2209000186,대전광역시 중구 ,36710076,20297,STT0229000,시내버스,삼부아파트,유개형(도시형),1,36.32334009,127.3937537
201,정류장,2209000187,대전광역시 중구 ,36710077,20222,STT0230000,시내버스,서대전역,유개형(도시형),1,36.32277887,127.4045921
202,정류장,2209000188,대전광역시 중구 ,36710076,20305,STT0231000,시내버스,삼부아파트,유개형(도시형),1,36.32279122,127.3937711
204,정류장,2209000190,대전광역시 중구 ,36710076,22822,STT0233000,시내버스,쌍용예가아파트,유개형(도시형),1,36.32273578,127.3981286
206,정류장,2209000192,대전광역시 중구 ,36710076,22822,STT0235000,시내버스,쌍용예가아파트,유개형(도시형),1,36.32261753,127.3982672
208,정류장,2209000194,대전광역시 중구 ,36710076,22961,STT0237000,시내버스,삼부/새롬아파트,유개형(도시형),1,36.3220831,127.3900242
209,정류장,2209000195,대전광역시 중구 ,36710076,22961,STT0238000,시내버스,버드내2단지,유개형(도시형),1,36.3218476,127.3901421
210,정류장,2209000196,대전광역시 중구 ,36710076,20612,STT0239000,시내버스,태평초등학교,유개형(도시형),1,36.32172817,127.394377
212,정류장,2209000198,대전광역시 중구 ,36710076,20612,STT0241000,시내버스,태평초등학교,유개형(도시형),1,36.32160748,127.3944932
214,정류장,2209000200,대전광역시 중구 ,36710076,20610,STT0243000,시내버스,유천네거리,유개형(도시형),1,36.32090833,127.3966494
216,정류장,2209000202,대전광역시 중구 ,36710076,20610,STT0245000,시내버스,유천네거리,유개형(도시형),1,36.32053944,127.3965807
221,정류장,2209000207,대전광역시 중구 ,36710076,20281,STT0250000,시내버스,버드내아파트,유개형(도시형),1,36.31940046,127.3922568
224,정류장,2209000211,대전광역시 중구 ,36710077,14380,STT0254000,버스공용,서대전육교,유개형(도시형),1,36.31899888,127.4003078
225,정류장,2209000212,대전광역시 중구 ,36710076,22965,STT0255000,시내버스,버드내아파트,유개형(도시형),1,36.31886685,127.3922927
226,정류장,2209000213,대전광역시 중구 ,36710076,14623,STT0256000,버스공용,우천동현대아파트,표지설치,1,36.31878422,127.3983396
227,정류장,2209000215,대전광역시 중구 ,36710076,14616,STT0258000,버스공용,유천시장,유개형(도시형),1,36.3180725,127.3965413
230,정류장,2209000218,대전광역시 중구 ,36710067,21331,STT0261000,시내버스,중촌아파트,유개형(도시형),1,36.34144964,127.4101041
231,정류장,2209000219,대전광역시 중구 ,36710067,27612,STT0262000,시내버스,중촌아파트,유개형(도시형),1,36.34110161,127.4101096
232,정류장,2209000220,대전광역시 중구 ,36710067,21725,STT0263000,시내버스,금호아파트,표지설치,1,36.34030539,127.4071544
233,정류장,2209000221,대전광역시 중구 ,36710067,21293,STT0264000,시내버스,중촌주공아파트,유개형(도시형),1,36.33974806,127.4087115
234,정류장,2209000222,대전광역시 중구 ,36710067,27772,STT0265000,시내버스,중앙중고등학교,유개형(도시형),1,36.33915677,127.4129561
