상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805440961,탑모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30170,서구,30170550,용문동,3017010500,용문동,3017010500105940016,1,대지,594,16.0,대전광역시 서구 용문동 594-16,301704298086.0,대전광역시 서구 계룡로636번길,15.0,,3017010500105940016007891,태양파크,대전광역시 서구 계룡로636번길 15,302845,35300,,,,127.392072268249,36.338184304254
MA010120220805478667,미드멜리호텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30170,서구,30170630,둔산1동,3017011200,둔산동,3017011200114460000,1,대지,1446,,대전광역시 서구 둔산동 1446,301704298335.0,대전광역시 서구 둔산중로40번길,27.0,,3017011200114460000021202,,대전광역시 서구 둔산중로40번길 27,302831,35241,,,,127.388279156131,36.3503047885704
MA010120220805506397,신세계센트럴시티호텔오노마,,I1,숙박,I101,일반 숙박,I10101,호텔/리조트,I55101,호텔업,30,대전광역시,30200,유성구,30200550,신성동,3020012700,도룡동,3020012700100030001,1,대지,3,1.0,대전광역시 유성구 도룡동 3-1,302002010001.0,대전광역시 유성구 대덕대로,480.0,,3020012700100030001016027,"대전CT센터,스튜디오큐브",대전광역시 유성구 대덕대로 480,305733,34126,,,,127.387203818286,36.3766247071966
MA010120220805507881,노랑펜션,,I1,숙박,I101,일반 숙박,I10103,펜션,I55109,기타 일반 및 생활 숙박시설 운영업,30,대전광역시,30170,서구,30170600,기성동,3017011900,산직동,3017011900105350002,1,대지,535,2.0,대전광역시 서구 산직동 535-2,301704298487.0,대전광역시 서구 안터길,131.0,,3017011900105350000000001,,대전광역시 서구 안터길 131,302050,35426,,,,127.339103222142,36.2326364019916
MA010120220805521724,디엠프레스호텔,,I1,숙박,I101,일반 숙박,I10101,호텔/리조트,I55101,호텔업,30,대전광역시,30170,서구,30170586,월평1동,3017011300,월평동,3017011300105160000,1,대지,516,,대전광역시 서구 월평동 516,301704298601.0,대전광역시 서구 한밭대로570번길,29.0,20.0,3017011300105160000019727,,대전광역시 서구 한밭대로570번길 29-20,302852,35222,,,,127.363268844886,36.3569244884719
MA010120220805528998,보보스,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100105410003,1,대지,541,3.0,대전광역시 유성구 봉명동 541-3,302004301013.0,대전광역시 유성구 계룡로155번길,40.0,,3020011100105410003014128,,대전광역시 유성구 계룡로155번길 40,305301,34187,,,,127.348196885096,36.3538420753509
MA010120220805570204,투투모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100105410004,1,대지,541,4.0,대전광역시 유성구 봉명동 541-4,302004301013.0,대전광역시 유성구 계룡로155번길,36.0,,3020011100105410004012631,,대전광역시 유성구 계룡로155번길 36,305301,34187,,,,127.348175879848,36.3536887488644
MA010120220805747690,그랜드파크,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30230,대덕구,30230525,회덕동,3023010600,와동,3023010600103690016,1,대지,369,16.0,대전광역시 대덕구 와동 369-16,302304304332.0,대전광역시 대덕구 신탄진로218번길,57.0,9.0,3023010600103690016008064,,대전광역시 대덕구 신탄진로218번길 57-9,306100,34346,,,,127.423351673775,36.4016700032429
MA010120220805748062,평안장,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140700,유천1동,3014011500,유천동,3014011500103410054,1,대지,341,54.0,대전광역시 중구 유천동 341-54,301404295530.0,대전광역시 중구 유등천동로324번길,60.0,,3014011500103410055019465,,대전광역시 중구 유등천동로324번길 60,301837,34987,,,,127.388576119643,36.313733506181
MA010120220805747513,은성장,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110515,중앙동,3011011900,정동,3011011900100310073,1,대지,31,73.0,대전광역시 동구 정동 31-73,301104292135.0,대전광역시 동구 대전로815번길,31.0,,3011011900100310073020681,,대전광역시 동구 대전로815번길 31,300150,34625,,,,127.430929698043,36.3332204664105
MA010120220805744272,모텔코보스,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30170,서구,30170640,둔산2동,3017011200,둔산동,3017011200113150000,1,대지,1315,,대전광역시 서구 둔산동 1315,301704298328.0,대전광역시 서구 둔산로73번길,25.0,,3017011200113150000020392,,대전광역시 서구 둔산로73번길 25,302830,35233,,,,127.381699335875,36.3525330599892
MA010120220805754951,그린파크,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140740,산성동,3014011700,산성동,3014011700101420009,1,대지,142,9.0,대전광역시 중구 산성동 142-9,301404295530.0,대전광역시 중구 유등천동로324번길,16.0,,3014011700101420009031279,,대전광역시 중구 유등천동로324번길 16,301817,34987,,,,127.388279740923,36.3117582420405
MA010120220805748209,봉봉장파크,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140605,문창동,3014010600,문창동,3014010600100530033,1,대지,53,33.0,대전광역시 중구 문창동 53-33,301404295151.0,대전광역시 중구 대종로386번길,71.0,,3014010600100530033013138,,대전광역시 중구 대종로386번길 71,301809,34930,,,,127.434110650398,36.3215553065835
MA010120220805744322,클래스,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30230,대덕구,30230546,중리동,3023010900,중리동,3023010900104110005,1,대지,411,5.0,대전광역시 대덕구 중리동 411-5,302304304501.0,대전광역시 대덕구 한밭대로1149번길,15.0,6.0,3023010900104110005014997,,대전광역시 대덕구 한밭대로1149번길 15-6,306824,34395,,,,127.425933116416,36.3598916434811
MA010120220805749796,홍인장,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140700,유천1동,3014011500,유천동,3014011500103300008,1,대지,330,8.0,대전광역시 중구 유천동 330-8,301404295034.0,대전광역시 중구 계백로1550번길,36.0,,3014011500103300008025712,,대전광역시 중구 계백로1550번길 36,301837,34977,,,,127.392805930214,36.3154133730363
MA010120220805742191,백제장여관,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140605,문창동,3014010600,문창동,3014010600100520018,1,대지,52,18.0,대전광역시 중구 문창동 52-18,301404295308.0,대전광역시 중구 문창로90번길,31.0,,3014010600100520018012383,,대전광역시 중구 문창로90번길 31,301809,34930,,,,127.4339973274,36.3218251467697
MA010120220805741177,경성장,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500100030021,1,대지,3,21.0,대전광역시 중구 대흥동 3-21,301403165007.0,대전광역시 중구 대전천서로,419.0,7.0,3014010500100030021017582,,대전광역시 중구 대전천서로 419-7,301802,34926,,,,127.4309786506,36.3264883298878
MA010120220805743423,대덕여인숙,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110515,중앙동,3011011900,정동,3011011900100140021,1,대지,14,21.0,대전광역시 동구 정동 14-21,301104292395.0,대전광역시 동구 역전1길,29.0,,3011011900100140021020788,,대전광역시 동구 역전1길 29,300150,34626,,,,127.432178252931,36.3330822037778
